,iter,method,num_tweets_tested,num_tweets_predicted_right,real_acc,adj_acc
0,0,MultinomialNB CountVectorizer,3,0.0,0.0,0.9702970297029703
1,0,SGDClassifier,3,0.0,0.0,0.9702970297029703
2,0,PassiveAggressiveClassifier: C = 0.01,3,0.0,0.0,0.9702970297029703
3,0,MultinomialNB TfidfVectorizer,3,0.0,0.0,0.9702970297029703
4,0,LinearSVC: C = 0,3,0.0,0.0,0.9702970297029703
5,1,MultinomialNB CountVectorizer,11,1.0,0.09090909090909091,0.9
6,1,SGDClassifier,11,0.0,0.0,0.89
7,1,PassiveAggressiveClassifier: C = 0.01,11,0.0,0.0,0.89
8,1,MultinomialNB TfidfVectorizer,11,0.0,0.0,0.89
9,1,LinearSVC: C = 0,11,0.0,0.0,0.89
10,2,MultinomialNB CountVectorizer,6,0.0,0.0,0.94
11,2,SGDClassifier,6,0.0,0.0,0.94
12,2,PassiveAggressiveClassifier: C = 0.01,6,0.0,0.0,0.94
13,2,MultinomialNB TfidfVectorizer,6,0.0,0.0,0.94
14,2,LinearSVC: C = 0,6,0.0,0.0,0.94
15,3,MultinomialNB CountVectorizer,18,1.0,0.05555555555555555,0.83
16,3,SGDClassifier,18,1.0,0.05555555555555555,0.83
17,3,PassiveAggressiveClassifier: C = 0.01,18,1.0,0.05555555555555555,0.83
18,3,MultinomialNB TfidfVectorizer,18,0.0,0.0,0.82
19,3,LinearSVC: C = 0,18,1.0,0.05555555555555555,0.83
20,4,MultinomialNB CountVectorizer,33,1.0,0.030303030303030304,0.68
21,4,SGDClassifier,33,0.0,0.0,0.67
22,4,PassiveAggressiveClassifier: C = 0.01,33,0.0,0.0,0.67
23,4,MultinomialNB TfidfVectorizer,33,0.0,0.0,0.67
24,4,LinearSVC: C = 0,33,0.0,0.0,0.67
25,5,MultinomialNB CountVectorizer,24,1.0,0.041666666666666664,0.77
26,5,SGDClassifier,24,0.0,0.0,0.76
27,5,PassiveAggressiveClassifier: C = 0.01,24,0.0,0.0,0.76
28,5,MultinomialNB TfidfVectorizer,24,0.0,0.0,0.76
29,5,LinearSVC: C = 0,24,0.0,0.0,0.76
30,6,MultinomialNB CountVectorizer,32,0.0,0.0,0.68
31,6,SGDClassifier,32,1.0,0.03125,0.69
32,6,PassiveAggressiveClassifier: C = 0.01,32,1.0,0.03125,0.69
33,6,MultinomialNB TfidfVectorizer,32,0.0,0.0,0.68
34,6,LinearSVC: C = 0,32,1.0,0.03125,0.69
35,7,MultinomialNB CountVectorizer,25,0.0,0.0,0.75
36,7,SGDClassifier,25,0.0,0.0,0.75
37,7,PassiveAggressiveClassifier: C = 0.01,25,0.0,0.0,0.75
38,7,MultinomialNB TfidfVectorizer,25,0.0,0.0,0.75
39,7,LinearSVC: C = 0,25,1.0,0.04,0.76
40,8,MultinomialNB CountVectorizer,26,2.0,0.07692307692307693,0.76
41,8,SGDClassifier,26,1.0,0.038461538461538464,0.75
42,8,PassiveAggressiveClassifier: C = 0.01,26,0.0,0.0,0.74
43,8,MultinomialNB TfidfVectorizer,26,0.0,0.0,0.74
44,8,LinearSVC: C = 0,26,1.0,0.038461538461538464,0.75
45,9,MultinomialNB CountVectorizer,17,1.0,0.058823529411764705,0.84
46,9,SGDClassifier,17,1.0,0.058823529411764705,0.84
47,9,PassiveAggressiveClassifier: C = 0.01,17,0.0,0.0,0.83
48,9,MultinomialNB TfidfVectorizer,17,0.0,0.0,0.83
49,9,LinearSVC: C = 0,17,0.0,0.0,0.83
50,10,MultinomialNB CountVectorizer,15,1.0,0.06666666666666667,0.86
51,10,SGDClassifier,15,0.0,0.0,0.85
